latitude,longitude,altitude,bearing
13.07523,80.23206,15.0,252.70113395130403
13.07518,80.23195,15.0,244.9842006263946
13.07481,80.23087,14.0,250.62279980341515
13.07451,80.23022,14.0,244.64746099972604
13.0742,80.22942,14.0,248.30681615924578
13.07411,80.22907,15.0,255.21211877070522
13.07402,80.2284,15.0,262.1483378223113
13.07395,80.22756,15.0,265.11029471150863
13.07381,80.22634,13.0,263.2812189278296
13.07383,80.2259,13.0,272.6717679469772
13.07395,80.22477,13.0,276.2219756086101
13.07396,80.2247,13.0,278.34345255806824
13.07397,80.22465,13.0,281.60284615996306
13.07407,80.22374,13.0,276.43667842453436
13.07409,80.22355,13.0,276.1677188767985
13.07414,80.22284,10.0,274.1351752676292
13.07416,80.22238,10.0,272.55576947661206
13.0742,80.22183,10.0,274.26999604060563
13.07436,80.22103,10.0,281.60294540152677
13.0744,80.22075,13.0,278.3434904828697
13.07483,80.21833,15.0,280.33820761038567
13.07488,80.21799,15.0,278.585303760289
13.07489,80.21793,15.0,279.7094329497574
13.0749,80.21786,15.0,278.34348390300585
13.07491,80.21782,15.0,284.39448671329643
13.07492,80.21777,15.0,281.6028896286858
13.07494,80.21763,15.0,278.34349298606134
13.07496,80.21748,15.0,277.7943390277855
13.07502,80.21708,13.0,278.7543861136977
13.07506,80.21676,13.0,277.3126612390358
13.07512,80.21625,13.0,276.8867877261424
13.07514,80.21601,13.0,274.88985002678044
13.07517,80.21571,13.0,275.8615748323043
13.07521,80.21532,13.0,276.0107950736318
13.07525,80.21502,13.0,277.79436473331435
13.07528,80.21483,13.0,279.20742782237926
13.07538,80.21456,14.0,290.818254504273
13.07561,80.21395,14.0,291.1607525833557
13.07568,80.21377,14.0,291.763896342954
13.07585,80.2135,14.0,302.87822851970395
13.07592,80.2134,14.0,305.7022915153063
13.07665,80.21233,17.0,305.0077003325033
13.07681,80.21213,17.0,309.3962141858521
13.07689,80.21195,17.0,294.5261370489259
13.07694,80.2118,17.0,288.8913602461933
13.07694,80.21179,17.0,270.00000113185814
13.07695,80.21176,17.0,288.8913488115531
13.07698,80.21149,17.0,276.50759044241516
13.07701,80.21126,17.0,277.62698504586183
13.07702,80.21115,17.0,275.33194905545196
13.07704,80.21098,17.0,276.88680291153827
13.07708,80.21065,17.0,277.09341715825155
13.07711,80.20997,14.0,272.5933584374045
13.07713,80.20966,14.0,273.7894180909647
13.07712,80.20905,14.0,269.03587762891334
13.07712,80.20896,14.0,270.0000101815338
13.07707,80.20851,15.0,263.4924876117599
13.07706,80.20847,15.0,255.60540153017774
13.07705,80.20835,15.0,265.1101527226719
13.07704,80.20801,13.0,268.27052842591036
13.07704,80.20798,13.0,270.00000339557573
13.07703,80.20793,13.0,258.3970246767289
13.07702,80.20764,13.0,267.97256213109983
13.07702,80.20754,13.0,270.00001131297245
13.07701,80.20725,13.0,267.9725622137816
13.077,80.20693,13.0,268.16250401056317
13.07698,80.20668,13.0,265.3048705574215
13.07692,80.20634,13.0,259.7312108419367
13.07672,80.20515,14.0,260.21061362836264
13.07663,80.20465,14.0,259.5303621423923
13.07662,80.20461,14.0,255.6054261380337
13.07659,80.2044,14.0,261.6564907512186
13.07646,80.20382,14.0,257.04159627592844
13.07643,80.20372,14.0,252.88189199614177
13.0764,80.20357,14.0,258.39706435855294
13.07628,80.20289,14.0,259.73127415670564
13.07623,80.20226,14.0,265.3420258918493
13.07627,80.20154,14.0,273.2643793510194
13.0763,80.20138,14.0,280.89569286537096
13.07634,80.20119,14.0,282.1958081499512
13.07636,80.20103,14.0,277.31268155419065
13.07639,80.20074,14.0,276.06224526652534
13.07638,80.20052,14.0,267.3282789683566
13.07637,80.20035,14.0,266.54415455242867
13.07633,80.20011,14.0,260.2905444214797
13.07628,80.19989,12.0,256.8665706491484
13.07621,80.19959,12.0,256.52896573788604
13.07618,80.19946,12.0,256.6716722247515
13.07587,80.19822,12.0,255.60559544443933
13.07567,80.1975,12.0,254.08342656086143
13.07546,80.19675,12.0,253.96263286965052
13.07542,80.1966,12.0,254.68959565998563
13.07533,80.19628,12.0,253.8947047921273
13.0752,80.19575,14.0,255.86616930810635
13.07508,80.19548,14.0,245.47406384941223
13.075,80.19532,14.0,242.82823928396283
13.07491,80.19517,11.0,238.36823404341246
13.07484,80.19505,11.0,239.08436824366163
13.07457,80.19473,11.0,229.10074335389487
13.07445,80.1946,11.0,226.53988402152027
13.07432,80.19446,11.0,226.37010147040968
13.0743,80.19442,11.0,242.8282945951101
13.07425,80.19433,11.0,240.30216345949412
13.07422,80.19424,11.0,251.1088575801113
13.07414,80.19409,11.0,241.29815239443928
13.07409,80.19384,11.0,258.3971809098143
13.07407,80.19367,13.0,263.11331711221175
13.07407,80.19351,13.0,270.0000180966575
13.07408,80.19314,13.0,271.58937731461424
13.07411,80.1925,13.0,272.7551581336163
13.07411,80.19219,13.0,270.0000350627582
13.07411,80.19164,12.0,270.000062208114
13.0741,80.19117,12.0,268.74875199040696
13.07401,80.19093,12.0,248.94435752594495
13.07393,80.19079,12.0,239.60264523551092
13.07339,80.19023,12.0,225.2895700593811
13.07309,80.18983,12.0,232.40535913507193
13.07282,80.18936,14.0,239.46995569631883
13.07242,80.18857,14.0,242.53467096173816
13.07199,80.18752,14.0,247.1973274602655
13.0715,80.18625,13.0,248.39209978014264
13.07148,80.18619,13.0,251.10904944486975
13.07137,80.18574,13.0,255.912764620898
13.07124,80.18519,10.0,256.3608035649737
13.07117,80.18489,10.0,256.52923087477086
13.07102,80.18425,10.0,256.4713434312718
13.0709,80.18385,10.0,252.88228422289154
13.0708,80.18355,14.0,251.1091221003526
